seller_zip_code_prefix,customer_zip_code_prefix,haversine_distance_km,actual_transit_days,route_count
9350,3149,18.57610953152956,8.436574074074073,1
31570,47813,851.4950685721757,13.78203703703704,1
14840,75265,514.4106663914259,9.394212962962962,1
31842,59296,1822.226336304357,13.20875,1
8752,9195,29.67662456445544,2.873877314814815,1
7112,86320,411.3943616220019,16.54224537037037,1
12940,26525,322.277082468742,9.989826388888888,1
13720,99655,869.9460437587828,9.818761574074074,1
8577,18075,112.2633742262114,18.22185185185185,1
29156,20780,414.9592883391909,12.6509375,1
90230,4278,845.4430001691887,5.754594907407407,1
14095,35400,451.7613693146509,12.08302083333333,1
14940,4812,309.1313710474806,4.922395833333334,1
88301,5271,430.1442013474281,11.39025462962963,1
71931,74820,161.2554142498221,13.85509259259259,1
8840,21381,296.2826366074315,17.27657407407407,1
4160,88780,552.3207168480496,12.95491898148148,1
14940,13186,209.7576556134176,6.766886574074074,2
12327,44024,1434.505573358005,13.26914351851852,1
4438,4001,11.68095597191488,21.32796296296296,1
9015,8473,13.81742527143478,4.386018518518519,1
1212,3323,6.883637393527184,4.816793981481482,1
13257,89070,489.0934684676126,18.40079861111111,1
14910,18052,233.8421956719569,4.277627314814815,1
9220,21715,326.9609071482392,28.92848379629629,1
14910,41213,1461.934595898936,12.639375,1
14940,41213,1474.608361663073,12.639375,1
13730,13568,106.351826327852,9.535694444444443,1
14050,9182,310.5923939968806,14.38247685185185,1
81350,69317,3381.363477978919,30.40189814814815,1
13450,5634,117.1601387713094,8.103807870370371,1
11704,55540,2061.858616398614,18.63396990740741,1
80310,5778,328.0608245602421,22.17189814814815,1
4363,26572,346.1231564690833,18.4784375,1
13030,13454,37.08393433896118,1.968043981481481,1
4782,77480,1272.598453897095,30.37475694444445,1
4273,62360,2273.107720594257,20.23855324074074,1
31255,19780,748.5325681268298,7.991331018518519,1
87303,54330,2560.541064836107,17.38170138888889,1
14940,4561,301.2516152058818,10.20763888888889,2
37175,26600,287.4794925177534,11.79520833333333,2
89165,19400,635.3983850215207,33.89693287037037,1
89204,73350,1193.055169796715,7.873622685185185,1
13501,47850,1163.944139944307,9.006388888888889,1
29156,21910,400.6446558929277,10.95246527777778,1
13324,44380,1457.409075046556,10.53201388888889,1
4782,12230,98.07386964362112,3.932638888888889,1
9230,95270,759.9315937389424,4.447847222222222,1
89160,1038,507.1869367399705,6.873368055555556,1
13360,6330,92.9390052666166,12.98587962962963,1
95705,87711,680.4001638990403,7.204791666666667,1
9628,90620,846.1023031559364,5.324259259259259,1
14850,25211,516.9239007346655,19.62733796296296,1
3204,12070,122.2402661959993,4.530914351851852,1
24451,22240,21.30189685594011,7.587048611111111,1
86800,3942,506.3720783042761,3.551412037037037,1
3126,49030,1727.066342260845,24.94341435185185,1
14940,13068,212.0744213407895,23.80740740740741,3
83323,4658,322.4887648509735,5.902800925925926,1
3809,8280,7.844357804443685,4.935011574074074,1
74435,70680,177.3265801629232,5.226296296296296,1
4567,22631,348.6625003362062,7.464884259259259,1
12940,38067,402.7829299816402,18.07726851851852,1
37175,36045,270.6378191662804,2.447048611111111,1
30111,36045,211.6307189637594,2.447048611111111,1
80215,46740,1616.05608853534,9.94556712962963,1
72015,38401,340.4470301555089,10.36538194444444,1
17056,8220,300.1814866657078,4.219768518518518,1
13360,13157,51.02270144881282,5.364641203703703,1
12940,89225,416.4227566283877,9.338877314814814,1
13257,2346,59.28379561736832,3.050659722222222,1
14075,13145,188.3459714834116,6.498240740740741,1
20270,6395,377.4193084171426,9.362800925925926,1
20756,37310,138.4262080795111,17.11271990740741,1
4445,85804,704.7179882467724,19.66815972222222,1
9015,78043,1345.788868916653,10.45486111111111,1
4160,14090,297.6112914166101,9.077673611111113,1
83408,93180,521.7759663315995,6.989664351851852,1
5849,2407,22.9260702101646,2.608553240740741,1
9015,8552,22.58482947302573,2.47287037037037,1
6506,71505,860.60688248652,18.81591435185185,1
31230,31255,3.175006530752313,4.577858796296296,1
14940,94055,936.2730308737576,8.69,1
14940,58600,2091.725934020144,20.68405092592593,1
8577,44180,1447.16819197375,23.26983796296296,1
3194,13760,233.6858649067864,11.37560185185185,2
14940,89440,537.3949868644606,13.15724537037037,1
87025,14091,490.7441736106715,17.08563657407407,1
14401,18017,329.5861019671456,10.12435185185185,1
1233,39370,738.7902432798871,24.03186342592593,1
13070,4845,103.1219916823713,3.242928240740741,1
9015,85555,633.8367420653052,20.8518287037037,2
87025,39135,1015.797691400798,16.02929398148148,1
14840,88302,619.0988424179934,19.77008101851852,1
5059,8485,31.12491508811044,7.773692129629629,1
4131,62970,2200.950861454367,13.65974537037037,1
13660,4053,212.4218753554417,4.259085648148148,1
14940,20740,581.3949449812226,36.34071759259259,2
14940,13218,257.0499215859562,10.79813657407407,3
6040,85618,722.3126585348928,13.14328703703704,1
4782,11440,57.25412303502542,2.418113425925926,1
3194,11740,72.18509136334755,6.205775462962963,1
4208,6434,30.18196246111782,3.866006944444444,1
88215,97502,886.7033748509206,7.690219907407408,1
37564,12243,108.1766025011459,9.969120370370373,1
3702,41830,1446.618964461851,12.73918981481481,1
13483,38650,683.9858799747052,12.92506944444444,1
6429,35162,637.1891142588051,11.19126157407407,1
13206,3962,59.82184179288563,3.212256944444444,1
5734,24933,401.1764891710522,56.02648148148148,1
22790,22783,3.636886716643862,1.153842592592593,1
30111,71050,623.2439834122312,5.945995370370371,1
11701,21250,343.7840415305774,6.7378125,1
89030,28148,694.37762567524,12.23710648148148,1
14940,25540,570.5246479442515,54.82819444444444,1
90010,90440,3.603536588839531,1.307893518518519,1
13206,4216,51.49030900003865,1.461550925925926,1
13290,24120,396.5081049205983,15.185,1
5849,59123,2341.910589465216,7.804988425925926,2
9163,22765,330.7418721092578,21.31512731481482,1
13405,14405,243.8117248316018,6.406793981481481,1
8577,14405,346.0146734956769,6.406793981481481,2
86073,9811,474.551796563266,11.82359953703704,1
14940,2055,300.3031692459917,5.863483796296296,1
8577,58178,2183.254879485944,27.84924768518519,1
3204,20270,349.6420623492534,6.969652777777778,2
13405,9521,150.2457161472824,1.772141203703704,1
14940,7600,288.333880479554,5.397118055555556,4
14850,80530,467.2162125667097,7.350763888888889,1
11701,2938,68.50224882537697,5.03400462962963,1
25803,27930,147.1069272529969,11.24296296296296,1
9015,39680,783.0685021405055,9.07570601851852,1
22745,22790,16.04664263256902,3.454363425925926,1
83402,6226,320.9800709265532,6.346701388888889,1
87025,80030,352.3010917254089,8.029189814814815,1
13186,7172,98.28069805953086,8.199108796296295,1
